signal_date,ticker,pattern_type,score,date,day_offset,open,high,low,close,volume,daily_return_pct
2026-06-12,ABDL,pocket_pivot,100.0,2026-05-08,-24,572.0,600.0,562.35,591.3,900364,3.3741
2026-06-12,ABDL,pocket_pivot,100.0,2026-05-11,-23,593.0,599.0,581.5,588.45,308774,-0.7673
2026-06-12,ABDL,pocket_pivot,100.0,2026-05-12,-22,588.05,590.8,565.3,567.45,317830,-3.5031
2026-06-12,ABDL,pocket_pivot,100.0,2026-05-13,-21,563.55,575.0,553.0,561.65,195406,-0.3371
2026-06-12,ABDL,pocket_pivot,100.0,2026-05-14,-20,567.5,575.0,544.75,551.6,318898,-2.8018
2026-06-12,ABDL,pocket_pivot,100.0,2026-05-15,-19,538.0,563.0,532.8,555.35,805576,3.2249
2026-06-12,ABDL,pocket_pivot,100.0,2026-05-18,-18,555.35,555.35,527.6,527.6,283973,-4.9968
2026-06-12,ABDL,pocket_pivot,100.0,2026-05-19,-17,520.0,539.7,505.15,531.5,470772,2.2115
2026-06-12,ABDL,pocket_pivot,100.0,2026-05-20,-16,529.5,534.9,510.65,532.25,246431,0.5194
2026-06-12,ABDL,pocket_pivot,100.0,2026-05-21,-15,539.85,539.85,525.4,536.95,244733,-0.5372
2026-06-12,ABDL,pocket_pivot,100.0,2026-05-22,-14,528.6,555.35,528.6,536.3,224435,1.4567
2026-06-12,ABDL,pocket_pivot,100.0,2026-05-25,-13,541.0,547.15,534.0,536.0,145903,-0.9242
2026-06-12,ABDL,pocket_pivot,100.0,2026-05-26,-12,538.15,551.1,534.8,544.9,332560,1.2543
2026-06-12,ABDL,pocket_pivot,100.0,2026-05-27,-11,544.9,546.0,536.4,539.85,191536,-0.9268
2026-06-12,ABDL,pocket_pivot,100.0,2026-05-29,-10,539.95,566.8,538.15,558.3,330864,3.3985
2026-06-12,ABDL,pocket_pivot,100.0,2026-06-01,-9,567.65,570.65,550.0,551.55,229968,-2.8363
2026-06-12,ABDL,pocket_pivot,100.0,2026-06-02,-8,550.7,551.8,542.0,546.6,114829,-0.7445
2026-06-12,ABDL,pocket_pivot,100.0,2026-06-03,-7,546.5,573.9,542.2,572.2,317367,4.7027
2026-06-12,ABDL,pocket_pivot,100.0,2026-06-04,-6,572.2,589.6,567.1,571.85,377233,-0.0612
2026-06-12,ABDL,pocket_pivot,100.0,2026-06-05,-5,571.8,586.95,571.75,580.7,301894,1.5565
2026-06-12,ABDL,pocket_pivot,100.0,2026-06-08,-4,575.0,580.1,560.75,567.65,174001,-1.2783
2026-06-12,ABDL,pocket_pivot,100.0,2026-06-09,-3,565.4,584.85,565.3,583.1,258823,3.1305
2026-06-12,ABDL,pocket_pivot,100.0,2026-06-10,-2,588.8,589.65,569.25,571.7,170415,-2.9042
2026-06-12,ABDL,pocket_pivot,100.0,2026-06-11,-1,569.0,612.0,560.0,608.45,1306233,6.9332
2026-06-12,CGCL,vcp,100.0,2026-05-07,-25,200.9,204.33,198.35,200.14,4197169,-0.3783
2026-06-12,CGCL,vcp,100.0,2026-05-08,-24,200.0,202.0,196.35,197.97,1782716,-1.015
2026-06-12,CGCL,vcp,100.0,2026-05-11,-23,197.4,197.4,190.5,191.1,1529190,-3.1915
2026-06-12,CGCL,vcp,100.0,2026-05-12,-22,191.0,191.83,185.55,186.75,1973601,-2.2251
2026-06-12,CGCL,vcp,100.0,2026-05-13,-21,186.95,187.89,182.39,184.43,1127568,-1.348
2026-06-12,CGCL,vcp,100.0,2026-05-14,-20,185.49,190.9,183.0,186.34,2193579,0.4582
2026-06-12,CGCL,vcp,100.0,2026-05-15,-19,188.7,189.67,184.15,185.01,2123867,-1.9555
2026-06-12,CGCL,vcp,100.0,2026-05-18,-18,184.91,188.2,183.01,186.3,1505857,0.7517
2026-06-12,CGCL,vcp,100.0,2026-05-19,-17,187.23,188.0,181.5,182.39,11975433,-2.5851
2026-06-12,CGCL,vcp,100.0,2026-05-20,-16,182.3,186.75,180.73,185.93,6729983,1.9912
2026-06-12,CGCL,vcp,100.0,2026-05-21,-15,187.0,189.19,184.5,185.37,1630845,-0.8717
2026-06-12,CGCL,vcp,100.0,2026-05-22,-14,185.37,193.33,183.96,190.65,5891090,2.8484
2026-06-12,CGCL,vcp,100.0,2026-05-25,-13,192.1,192.99,188.44,189.3,1679289,-1.4576
2026-06-12,CGCL,vcp,100.0,2026-05-26,-12,189.3,193.65,188.63,190.79,2888070,0.7871
2026-06-12,CGCL,vcp,100.0,2026-05-27,-11,190.79,194.5,189.1,189.9,2357825,-0.4665
2026-06-12,CGCL,vcp,100.0,2026-05-29,-10,190.15,199.47,190.06,198.36,4062438,4.3176
2026-06-12,CGCL,vcp,100.0,2026-06-01,-9,203.42,204.29,195.55,198.03,5329572,-2.6497
2026-06-12,CGCL,vcp,100.0,2026-06-02,-8,198.26,200.75,195.09,198.77,2013593,0.2572
2026-06-12,CGCL,vcp,100.0,2026-06-03,-7,200.3,202.25,197.03,201.36,1485416,0.5292
2026-06-12,CGCL,vcp,100.0,2026-06-04,-6,199.9,208.4,198.53,202.53,3552907,1.3157
2026-06-12,CGCL,vcp,100.0,2026-06-05,-5,203.0,205.0,200.93,202.77,3384453,-0.1133
2026-06-12,CGCL,vcp,100.0,2026-06-08,-4,199.13,203.3,198.0,198.62,2352911,-0.2561
2026-06-12,CGCL,vcp,100.0,2026-06-09,-3,198.5,203.7,198.0,203.2,2034770,2.3678
2026-06-12,CGCL,vcp,100.0,2026-06-10,-2,203.5,204.64,200.48,201.72,1570719,-0.8747
2026-06-12,CGCL,vcp,100.0,2026-06-11,-1,199.5,201.28,198.0,199.29,1883079,-0.1053
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-05-07,-25,73.95,73.95,71.87,73.28,3929817,-0.906
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-05-08,-24,72.8,73.71,72.18,72.45,2735211,-0.4808
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-05-11,-23,72.7,72.7,69.26,69.8,3050844,-3.989
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-05-12,-22,69.6,71.23,67.58,67.91,3610058,-2.4282
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-05-13,-21,67.91,69.6,67.91,68.56,2032600,0.9571
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-05-14,-20,68.85,69.53,67.05,68.32,2194021,-0.7698
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-05-15,-19,68.6,69.81,67.57,67.96,2425300,-0.9329
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-05-18,-18,67.0,67.83,65.75,66.74,3255695,-0.3881
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-05-19,-17,66.5,69.3,66.5,67.98,2999920,2.2256
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-05-20,-16,67.66,68.95,67.0,68.04,1306251,0.5616
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-05-21,-15,68.39,69.39,67.6,68.96,2220212,0.8335
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-05-22,-14,68.62,68.62,66.0,66.48,3397582,-3.1186
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-05-25,-13,67.61,68.39,66.86,68.16,1768372,0.8135
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-05-26,-12,68.2,70.57,68.16,70.15,2944508,2.8592
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-05-27,-11,70.75,72.6,70.15,72.18,3894528,2.0212
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-05-29,-10,72.29,72.58,69.57,70.21,2026309,-2.8773
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-06-01,-9,70.03,70.24,68.56,69.41,1606376,-0.8853
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-06-02,-8,69.4,71.04,68.23,69.76,2734512,0.5187
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-06-03,-7,69.76,71.45,68.68,70.9,2148146,1.6342
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-06-04,-6,70.45,73.0,69.76,72.3,8173933,2.626
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-06-05,-5,72.8,74.25,72.66,73.95,15166973,1.5797
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-06-08,-4,73.2,76.26,72.56,74.83,10801060,2.2268
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-06-09,-3,75.2,76.93,74.67,74.98,7486921,-0.2926
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-06-10,-2,75.4,75.49,73.07,73.52,2397543,-2.4934
2026-06-12,EQUITASBNK,pocket_pivot,100.0,2026-06-11,-1,73.0,73.74,71.0,71.39,3614041,-2.2055
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-05-07,-25,410.0,421.0,405.2,417.35,906884,1.7927
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-05-08,-24,418.7,448.65,418.7,435.95,1958141,4.1199
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-05-11,-23,424.95,427.9,408.4,416.15,1002548,-2.0708
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-05-12,-22,414.9,418.8,380.35,383.35,837147,-7.6042
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-05-13,-21,379.0,394.5,374.0,390.2,806914,2.9551
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-05-14,-20,394.8,396.45,378.75,383.75,457810,-2.7989
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-05-15,-19,383.0,391.15,376.5,378.6,385897,-1.1488
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-05-18,-18,375.0,381.4,360.45,370.1,434853,-1.3067
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-05-19,-17,372.0,382.5,372.0,379.75,241271,2.0833
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-05-20,-16,377.85,385.35,374.6,380.55,258836,0.7146
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-05-21,-15,384.0,389.4,380.4,383.35,211973,-0.1693
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-05-22,-14,385.0,393.0,383.15,391.3,290962,1.6364
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-05-25,-13,396.5,413.75,393.55,407.95,629205,2.8878
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-05-26,-12,406.3,412.5,400.5,408.2,284321,0.4676
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-05-27,-11,410.0,428.0,392.2,411.95,2562779,0.4756
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-05-29,-10,414.95,427.8,403.2,408.9,665767,-1.458
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-06-01,-9,410.25,435.0,407.3,409.75,1248104,-0.1219
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-06-02,-8,411.65,442.0,411.0,424.45,1955838,3.1094
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-06-03,-7,427.9,439.0,421.8,435.3,1129953,1.7294
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-06-04,-6,440.0,448.65,429.1,431.75,907886,-1.875
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-06-05,-5,434.5,437.3,416.5,421.6,510424,-2.9689
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-06-08,-4,412.6,421.0,407.0,410.35,312882,-0.5453
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-06-09,-3,411.0,438.0,411.0,434.45,1049106,5.7056
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-06-10,-2,438.1,458.0,427.1,431.6,2181166,-1.4837
2026-06-12,GOLDIAM,pocket_pivot,100.0,2026-06-11,-1,426.1,437.7,418.75,423.8,596911,-0.5398
2026-06-12,IFCI,pocket_pivot,100.0,2026-05-07,-25,61.65,64.45,61.3,63.88,43768649,3.6172
2026-06-12,IFCI,pocket_pivot,100.0,2026-05-08,-24,64.25,66.0,63.75,64.45,49212170,0.3113
2026-06-12,IFCI,pocket_pivot,100.0,2026-05-11,-23,63.95,65.1,62.88,63.02,23429915,-1.4543
2026-06-12,IFCI,pocket_pivot,100.0,2026-05-12,-22,62.8,64.39,60.8,61.07,28073717,-2.7548
2026-06-12,IFCI,pocket_pivot,100.0,2026-05-13,-21,61.5,66.25,61.37,64.96,68370477,5.626
2026-06-12,IFCI,pocket_pivot,100.0,2026-05-14,-20,65.31,65.66,62.8,65.1,35318157,-0.3215
2026-06-12,IFCI,pocket_pivot,100.0,2026-05-15,-19,65.4,65.62,63.0,63.29,19142154,-3.2263
2026-06-12,IFCI,pocket_pivot,100.0,2026-05-18,-18,63.0,63.0,61.0,62.19,15362468,-1.2857
2026-06-12,IFCI,pocket_pivot,100.0,2026-05-19,-17,62.47,62.78,61.1,61.73,14846827,-1.1846
2026-06-12,IFCI,pocket_pivot,100.0,2026-05-20,-16,61.15,61.7,60.65,61.41,11172324,0.4252
2026-06-12,IFCI,pocket_pivot,100.0,2026-05-21,-15,62.78,62.78,60.75,61.02,9562648,-2.8034
2026-06-12,IFCI,pocket_pivot,100.0,2026-05-22,-14,61.0,61.38,60.6,60.74,7418146,-0.4262
2026-06-12,IFCI,pocket_pivot,100.0,2026-05-25,-13,61.6,63.14,61.5,61.75,11763160,0.2435
2026-06-12,IFCI,pocket_pivot,100.0,2026-05-26,-12,61.9,64.84,61.7,64.4,29680081,4.0388
2026-06-12,IFCI,pocket_pivot,100.0,2026-05-27,-11,64.55,68.7,64.2,68.38,88863769,5.9334
2026-06-12,IFCI,pocket_pivot,100.0,2026-05-29,-10,68.9,70.2,67.75,68.53,45005174,-0.537
2026-06-12,IFCI,pocket_pivot,100.0,2026-06-01,-9,68.6,71.45,66.95,67.22,48964479,-2.0117
2026-06-12,IFCI,pocket_pivot,100.0,2026-06-02,-8,67.0,72.2,66.61,71.64,105743147,6.9254
2026-06-12,IFCI,pocket_pivot,100.0,2026-06-03,-7,72.3,81.9,71.78,80.42,322483580,11.231
2026-06-12,IFCI,pocket_pivot,100.0,2026-06-04,-6,81.0,83.44,78.13,81.98,202071793,1.2099
2026-06-12,IFCI,pocket_pivot,100.0,2026-06-05,-5,82.0,82.69,78.47,79.6,69288318,-2.9268
2026-06-12,IFCI,pocket_pivot,100.0,2026-06-08,-4,78.0,79.06,73.25,73.8,51941209,-5.3846
2026-06-12,IFCI,pocket_pivot,100.0,2026-06-09,-3,74.03,77.39,73.69,77.07,47703896,4.1064
2026-06-12,IFCI,pocket_pivot,100.0,2026-06-10,-2,77.35,77.49,71.51,71.83,35150395,-7.1364
2026-06-12,IFCI,pocket_pivot,100.0,2026-06-11,-1,70.98,73.27,70.01,70.48,40030897,-0.7044
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-05-07,-25,896.4,896.4,874.9,881.5,90469,-1.6622
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-05-08,-24,880.85,880.85,863.65,874.7,49265,-0.6982
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-05-11,-23,874.0,882.7,858.5,875.75,62065,0.2002
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-05-12,-22,875.0,880.3,862.6,868.9,131267,-0.6971
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-05-13,-21,870.0,895.0,870.0,889.6,125319,2.2529
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-05-14,-20,890.0,915.05,885.55,895.85,112166,0.6573
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-05-15,-19,890.0,974.0,877.25,951.0,509978,6.8539
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-05-18,-18,942.0,952.05,923.0,928.0,92264,-1.4862
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-05-19,-17,939.95,940.15,919.3,934.65,157356,-0.5639
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-05-20,-16,936.0,951.0,901.45,910.8,187526,-2.6923
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-05-21,-15,975.0,1022.2,941.2,953.9,2058973,-2.1641
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-05-22,-14,953.9,972.0,892.35,898.75,304367,-5.7815
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-05-25,-13,900.0,908.0,876.45,896.95,251984,-0.3389
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-05-26,-12,864.0,913.0,864.0,882.45,279169,2.1354
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-05-27,-11,882.95,888.95,863.0,881.85,143886,-0.1246
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-05-29,-10,881.95,905.15,877.9,895.2,238733,1.5024
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-06-01,-9,890.0,895.0,865.0,874.65,168299,-1.7247
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-06-02,-8,870.1,909.35,865.9,900.15,161988,3.4536
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-06-03,-7,899.95,900.45,887.15,895.4,68505,-0.5056
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-06-04,-6,894.9,897.65,851.1,858.95,322429,-4.0172
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-06-05,-5,858.95,869.7,850.0,858.7,185870,-0.0291
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-06-08,-4,855.95,871.45,836.55,851.9,74507,-0.4732
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-06-09,-3,852.1,862.8,851.9,861.0,55865,1.0445
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-06-10,-2,863.0,868.95,845.4,859.45,106917,-0.4114
2026-06-12,MEDPLUS,pocket_pivot,100.0,2026-06-11,-1,852.6,878.5,848.4,875.85,384453,2.727
2026-06-12,MMTC,pocket_pivot,100.0,2026-05-07,-25,66.82,68.3,66.2,66.82,3551641,0.0
2026-06-12,MMTC,pocket_pivot,100.0,2026-05-08,-24,66.99,69.34,66.83,67.79,4884361,1.1942
2026-06-12,MMTC,pocket_pivot,100.0,2026-05-11,-23,67.8,69.0,65.67,66.7,2974612,-1.6224
2026-06-12,MMTC,pocket_pivot,100.0,2026-05-12,-22,66.7,66.89,63.01,63.56,1968330,-4.7076
